YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
2023,163,0,32816,Satoshi Kodaira,1.82%,120,6600,0,0.0
2023,163,0,32150,Michael Thompson,1.82%,139,7650,0,0.0
2023,165,0,32366,Kevin Chappell,1.79%,138,7700,0,0.0
2023,166,0,26596,Ryan Moore,1.76%,201,11400,0,1.0
2023,167,0,55454,Carl Yuan,1.75%,199,11400,0,0.0
2023,168,0,49298,Kramer Hickok,1.74%,236,13550,0,0.0
2023,169,0,23320,Ryan Palmer,1.68%,193,11450,0,1.0
2023,170,0,23983,Luke Donald,1.64%,127,7750,0,0.0
2023,171,0,48822,Sebastián Muñoz,1.63%,59,3600,0,0.0
2023,172,0,29535,Brice Garnett,1.62%,173,10700,0,1.0
2023,173,0,35617,Martin Trainer,1.60%,139,8700,0,1.0
2023,174,0,31577,Tano Goya,1.57%,175,11200,0,0.0
2023,175,0,49453,Trevor Cone,1.56%,174,11200,0,1.0
2023,175,0,1226,Fred Couples,1.56%,9,600,0,0.0
2023,177,0,48084,Wesley Bryan,1.55%,104,6700,0,1.0
2023,178,0,28679,Fabián Gómez,1.53%,55,3600,0,0.0
2023,179,0,53165,Doc Redman,1.48%,181,12250,0,1.0
2023,179,0,47128,Richy Werenski,1.48%,217,14700,0,0.0
2023,181,0,27974,Sung Kang,1.46%,98,6700,0,0.0
2023,182,0,33122,Russell Knox,1.45%,219,15050,0,0.0
2023,183,0,19803,Ryan Armour,1.44%,191,13300,0,0.0
2023,184,0,35449,Adam Long,1.42%,222,15600,0,0.0
2023,185,0,24925,Jonathan Byrd,1.41%,125,8900,0,0.0
2023,186,0,32448,James Hahn,1.40%,164,11750,0,1.0
2023,187,0,20229,Stewart Cink,1.36%,156,11450,0,0.0
2023,187,0,34610,Matthias Schwab,1.36%,204,15050,0,2.0
2023,189,0,22046,Geoff Ogilvy,1.35%,63,4700,0,0.0
2023,190,0,19846,Brian Gay,1.33%,67,5000,0,0.0
2023,190,0,25198,Francesco Molinari,1.33%,121,9150,0,0.0
2023,190,0,32333,Kevin Tway,1.33%,207,15550,0,0.0
2023,193,0,24846,Ricky Barnes,1.30%,67,5200,0,1.0
2023,194,0,35310,Lanto Griffin,1.29%,85,6600,0,0.0
2023,195,0,31202,William McGirt,1.27%,86,6750,0,0.0
2023,196,0,29970,Dylan Frittelli,1.24%,180,14500,0,0.0
2023,197,0,39335,Kevin Roy,1.23%,143,11700,0,0.0
2023,198,0,36724,Augusto Núñez,1.22%,149,12200,0,0.0
2023,199,0,51414,Brent Grant,1.21%,158,13000,0,1.0
2023,200,0,24924,Bill Haas,1.16%,65,5600,0,0.0
2023,201,0,27556,Ted Potter Jr.,1.15%,37,3200,0,0.0
2023,202,0,25686,Jason Dufner,1.13%,146,12950,0,0.0
2023,202,0,34174,John Huh,1.13%,45,4000,0,0.0
2023,204,0,46435,Austin Cook,1.10%,140,12700,0,0.0
2023,205,0,28420,Ryan Brehm,1.09%,155,14150,0,0.0
2023,205,0,34431,Robert Streb,1.09%,145,13250,0,0.0
2023,207,0,8793,Tiger Woods,.99%,11,1150,0,0.0
2023,208,0,30750,Tommy Gainey,.97%,46,4700,0,0.0
2023,209,0,51950,Max McGreevy,.95%,142,14850,0,1.0
2023,209,0,58967,Trevor Werbylo,.95%,111,11700,0,0.0
2023,211,0,49766,Hank Lebioda,.93%,89,9500,0,0.0
2023,212,0,27554,Scott Harrington,.92%,107,11700,0,0.0
2023,213,0,27649,Brandt Snedeker,.90%,35,3850,0,0.0
2023,214,0,29478,Kevin Kisner,.88%,70,8000,0,0.0
2023,215,0,31557,Jim Herman,.86%,95,11100,0,0.0
2023,216,0,27797,Derek Lamely,.85%,26,3100,0,0.0
2023,217,0,31560,Brian Stuard,.84%,90,10700,0,0.0
2023,218,0,51491,Brandon Matthews,.83%,101,12200,0,1.0
2023,219,0,35879,Kelly Kraft,.82%,103,12550,0,0.0
2023,220,0,49303,Anders Albertson,.79%,34,4300,0,0.0
2023,221,0,23621,Rory Sabbatini,.78%,55,7000,0,0.0
2023,222,0,27095,Nick Watney,.76%,96,12550,0,0.0
2023,222,0,52411,Kyle Westmoreland,.76%,95,12450,0,0.0
2023,224,0,37273,Derek Ernst,.74%,27,3700,0,0.0
2023,225,0,20593,Greg Chalmers,.60%,28,4700,0,0.0
2023,225,0,10423,Mike Weir,.60%,7,1100,0,0.0
2023,227,0,8075,Jerry Kelly,.59%,7,1100,0,0.0
2023,228,0,51894,Vince Whaley,.58%,22,3800,0,0.0
2023,229,0,32662,Michael Gligic,.52%,63,12200,0,0.0
2023,230,0,6522,Ernie Els,.51%,6,1100,0,0.0
2023,231,0,33410,Andrew Landry,.45%,49,11100,0,0.0
2023,232,0,29479,Scott Brown,.44%,26,5900,0,0.0
2023,233,0,28259,Sangmoon Bae,.43%,12,2900,0,0.0
2023,234,0,54813,Philip Knowles,.40%,18,4500,0,0.0
2023,235,0,27770,Camilo Villegas,.33%,14,4100,0,0.0
2023,236,0,23541,Ben Crane,.30%,13,4400,0,0.0
2023,237,0,24490,George McNeill,.27%,6,2100,0,0.0
2023,238,0,23623,Bo Van Pelt,.25%,6,2400,0,0.0
2023,239,0,25240,D.A. Points,.23%,9,3900,0,0.0
2023,239,0,23788,D.J. Trahan,.23%,7,2900,0,0.0
2023,241,0,21407,Arjun Atwal,.22%,8,3600,0,0.0
2023,242,0,27141,J.B. Holmes,.15%,7,4550,0,0.0
2023,242,0,30110,Kyle Stanley,.15%,11,7600,0,0.0
2023,244,0,26420,Richard Johnson,.13%,2,1900,0,0.0
2023,244,0,26679,Kevin Stadler,.13%,4,2900,0,0.0
2022,1,0,46046,Scottie Scheffler,30.52,3556,11650,4,9.0
2022,2,0,28237,Rory McIlroy,29.42,2104,7150,2,8.0
2022,3,0,35891,Cameron Smith,27.15,2335,8600,3,7.0
2022,4,0,35450,Patrick Cantlay,23.04,2108,9150,1,10.0
2022,5,0,48081,Xander Schauffele,22.31,2153,9650,3,5.0
2022,6,0,47504,Sam Burns,20.5,2275,11100,3,8.0
2022,7,0,55182,Tom Kim,19.11,917,4800,1,3.0
2022,8,0,33448,Justin Thomas,18.57,1783,9600,1,9.0
2022,9,0,40098,Matt Fitzpatrick,17.44,1596,9150,1,9.0
2022,10,0,32839,Hideki Matsuyama,16.89,1697,10050,2,6.0
2022,11,0,46970,Jon Rahm,16.66,1449,8700,1,6.0
2022,12,0,29725,Tony Finau,16.48,1912,11600,2,5.0
2022,13,0,34046,Jordan Spieth,15.51,1574,10150,1,6.0
2022,14,0,57366,Cameron Young,15.16,1774,11700,0,7.0
2022,15,0,39977,Max Homa,14.51,1625,11200,2,4.0
2022,16,0,47483,Will Zalatoris,14.36,1680,11700,0,8.0
2022,17,0,39971,Sungjae Im,14.32,1733,12100,1,8.0
2022,18,0,29420,Billy Horschel,13.82,1403,10150,1,5.0
2022,19,0,46717,Viktor Hovland,13.55,1314,9700,1,5.0
2022,20,0,50525,Collin Morikawa,12.59,1089,8650,0,7.0
2022,21,0,46402,Talor Gooch,11.17,1302,11650,1,4.0
2022,22,0,45486,Joaquin Niemann,11.01,1228,11150,1,4.0
2022,23,0,33204,Shane Lowry,10.95,942,8600,0,4.0
2022,24,0,35532,Tom Hoge,9.37,1424,15200,1,5.0
2022,25,0,34098,Russell Henley,8.77,934,10650,0,4.0
2022,26,0,49964,Aaron Wise,8.61,952,11050,0,4.0
2022,27,0,30911,Tommy Fleetwood,8.42,766,9100,0,5.0
2022,28,0,49771,J.T. Poston,8.3,1146,13800,1,4.0
2022,29,0,39058,Lucas Herbert,8.25,796,9650,1,2.0
2022,30,0,34363,Tyrrell Hatton,8.23,749,9100,0,3.0
2022,31,0,40026,Daniel Berger,8.14,529,6500,0,3.0
2022,32,0,25364,Paul Casey,8.06,310,3850,0,1.0
2022,33,0,39997,Corey Conners,8.0,936,11700,0,3.0
2022,34,0,30944,Jason Kokrak,7.89,801,10150,1,1.0
2022,35,0,29478,Kevin Kisner,7.81,906,11600,0,5.0
2022,36,0,28252,Seamus Power,7.8,990,12700,0,5.0
2022,37,0,48117,Kurt Kitayama,7.73,839,10850,0,3.0
2022,38,0,33141,Keegan Bradley,7.64,925,12100,0,6.0
2022,39,0,47995,Davis Riley,7.57,1045,13800,0,6.0
2022,40,0,23108,Matt Kuchar,7.48,696,9300,0,3.0
2022,41,0,46442,Maverick McNealy,7.4,936,12650,0,4.0
2022,42,0,39546,Keith Mitchell,7.13,888,12450,0,6.0
2022,42,0,40250,Taylor Pendrith,7.13,663,9300,0,2.0
2022,44,0,39324,J.J. Spaun,7.09,985,13900,1,3.0
2022,45,0,27129,Luke List,6.85,938,13700,1,3.0
2022,46,0,47529,Mito Pereira,6.83,888,13000,0,3.0
2022,47,0,33419,Cameron Tringale,6.79,957,14100,0,5.0
2022,48,0,56278,Matthew Wolff,6.77,572,8450,0,2.0
2022,49,0,27349,Alex Noren,6.64,681,10250,0,3.0
2022,50,0,48822,Sebastián Muñoz,6.59,795,12050,0,3.0
2022,51,0,32791,K.H. Lee,6.49,853,13150,1,1.0
2022,52,0,29518,Brendan Steele,6.35,689,10850,0,4.0
2022,53,0,26300,Matt Jones,6.31,653,10350,0,2.0
2022,54,0,37189,Harold Varner III,6.14,682,11100,0,3.0
2022,55,0,45522,Christiaan Bezuidenhout,6.1,698,11450,0,1.0
2022,56,0,47993,Denny McCarthy,6.06,842,13900,0,5.0
2022,57,0,51634,Sahith Theegala,6.05,886,14650,0,5.0
2022,58,0,24502,Adam Scott,5.98,551,9200,0,3.0
2022,58,0,34264,Hudson Swafford,5.98,640,10700,1,1.0
2022,60,0,35506,Mackenzie Hughes,5.95,783,13150,0,3.0
2022,61,0,30926,Chris Kirk,5.94,707,11900,0,4.0
2022,62,0,30692,Scott Stallings,5.89,852,14450,0,6.0
2022,63,0,26851,Marc Leishman,5.86,656,11200,0,3.0
2022,64,0,33399,Adam Hadwin,5.81,721,12400,0,5.0
2022,65,0,49960,Sepp Straka,5.79,909,15700,1,3.0
2022,66,0,27644,Brian Harman,5.51,694,12600,0,5.0
2022,67,0,26476,Chez Reavie,5.5,715,13000,1,3.0
2022,68,0,31420,Anirban Lahiri,5.42,642,11850,0,3.0
2022,69,0,45526,Abraham Ancer,5.34,510,9550,0,3.0
2022,70,0,37455,Si Woo Kim,5.29,751,14200,0,1.0
2022,71,0,31646,Emiliano Grillo,5.28,691,13100,0,2.0
2022,72,0,36801,Mark Hubbard,5.24,508,9700,0,2.0
2022,73,0,45157,Cam Davis,5.23,614,11750,0,5.0
2022,73,0,34174,John Huh,5.23,612,11700,0,2.0
2022,75,0,32640,Troy Merritt,5.13,639,12450,0,2.0
2022,76,0,22405,Justin Rose,5.09,458,9000,0,2.0
2022,77,0,35461,Beau Hossler,4.99,572,11450,0,2.0
2022,78,0,35310,Lanto Griffin,4.95,592,11950,0,4.0
2022,79,0,21961,Charles Howell III,4.94,400,8100,0,1.0
2022,79,0,31323,Gary Woodland,4.94,573,11600,0,5.0
2022,81,0,30927,Brendon Todd,4.87,592,12150,0,2.0
2022,82,0,49947,Taylor Moore,4.85,623,12850,0,4.0
2022,83,0,36689,Brooks Koepka,4.79,412,8600,0,2.0
2022,84,0,52374,Brandon Wu,4.78,586,12250,0,4.0
2022,85,0,46340,Alex Smalley,4.71,658,13950,0,3.0
2022,86,0,46601,Trey Mullinax,4.63,590,12750,1,2.0
2022,87,0,28420,Ryan Brehm,4.58,359,7850,1,1.0
2022,88,0,29926,Danny Lee,4.52,490,10850,0,3.0
2022,89,0,47983,Chad Ramey,4.35,568,13050,1,2.0
2022,90,0,36871,Matthew NeSmith,4.17,576,13800,0,2.0
2022,91,0,28089,Jason Day,4.16,385,9250,0,2.0
2022,92,0,34076,Joel Dahmen,4.13,524,12700,0,3.0
2022,93,0,35449,Adam Long,4.1,564,13750,0,0.0
2022,94,0,29908,C.T. Pan,4.04,473,11700,0,2.0
2022,95,0,27064,Jhonattan Vegas,4.03,428,10600,0,1.0
2022,96,0,33667,Carlos Ortiz,4.0,414,10350,0,1.0
2022,97,0,27936,Martin Laird,3.99,421,10550,0,1.0
2022,98,0,39975,Michael Kim,3.98,84,2100,0,1.0
2022,99,0,36699,Patrick Rodgers,3.93,517,13150,0,3.0
2022,100,0,27214,Kevin Streelman,3.89,509,13100,0,2.0
2022,101,0,33122,Russell Knox,3.73,514,13800,0,2.0
2022,102,0,51766,Wyndham Clark,3.71,527,14200,0,3.0
2022,103,0,46414,Aaron Rai,3.63,491,13550,0,2.0
2022,104,0,36326,David Lipsky,3.62,505,13950,0,3.0
2022,105,0,23320,Ryan Palmer,3.59,391,10900,0,1.0
2022,106,0,24361,Pat Perez,3.54,345,9750,0,2.0
2022,107,0,34256,Andrew Putnam,3.52,498,14150,0,1.0
2022,108,0,28775,Nate Lashley,3.51,427,12150,0,1.0
2022,109,0,29221,Webb Simpson,3.44,346,10050,0,1.0
2022,110,0,34610,Matthias Schwab,3.39,353,10400,0,3.0
2022,111,0,48699,Callum Tarren,3.37,405,12000,0,3.0
2022,112,0,32150,Michael Thompson,3.32,406,12250,0,2.0
2022,113,0,40115,Adam Svensson,3.29,483,14700,0,3.0
2022,114,0,34466,Peter Malnati,3.28,501,15250,0,2.0
2022,115,0,32448,James Hahn,3.26,400,12250,0,3.0
2022,116,0,51894,Vince Whaley,3.25,438,13500,0,2.0
2022,117,0,36799,Stephan Jaeger,3.21,480,14950,0,2.0
2022,118,0,55708,Hayden Buckley,3.18,456,14350,0,2.0
2022,118,0,51950,Max McGreevy,3.18,404,12700,0,2.0
2022,120,0,22056,Cameron Percy,3.11,240,7700,0,3.0
2022,121,0,47959,Bryson DeChambeau,3.05,134,4400,0,1.0
2022,122,0,25818,Scott Piercy,3.04,410,13500,0,1.0
2022,123,0,54628,Lee Hodges,3.03,424,14000,0,2.0
2022,124,0,34563,Chesson Hadley,3.02,404,13350,0,4.0
2022,125,0,32102,Rickie Fowler,3.01,324,10750,0,1.0
2022,126,0,20229,Stewart Cink,3.0,376,12550,0,2.0
2022,127,0,25198,Francesco Molinari,2.99,272,9100,0,1.0
2022,128,0,40006,Erik van Rooyen,2.95,269,9100,0,1.0
2022,128,0,48887,Matt Wallace,2.95,316,10700,0,2.0
2022,130,0,47347,Adam Schenk,2.93,461,15750,0,3.0
2022,131,0,29970,Dylan Frittelli,2.9,401,13800,0,1.0
2022,132,0,52372,Cameron Champ,2.89,288,9950,0,2.0
2022,133,0,47988,Nick Hardy,2.88,288,10000,0,1.0
2022,134,0,45609,Tyler Duncan,2.86,355,12400,0,0.0
2022,134,0,32139,Danny Willett,2.86,304,10600,0,1.0
2022,136,0,51890,Greyson Sigg,2.84,397,13950,0,1.0
2022,137,0,37275,Sam Ryder,2.83,412,14550,0,3.0
2022,138,0,40162,Justin Lower,2.77,311,11250,0,2.0
2022,139,0,52375,Doug Ghim,2.74,385,14050,0,1.0
2022,140,0,33413,Ben Martin,2.73,197,7200,0,1.0
2022,141,0,23621,Rory Sabbatini,2.69,244,9050,0,1.0
2022,141,0,50095,Austin Smotherman,2.69,315,11700,0,1.0
2022,143,0,34431,Robert Streb,2.66,385,14500,0,3.0
2022,143,0,27095,Nick Watney,2.66,387,14550,0,1.0
2022,145,0,25900,Lucas Glover,2.6,349,13400,0,1.0
2022,146,0,32662,Michael Gligic,2.53,283,11200,0,1.0
2022,146,0,33410,Andrew Landry,2.53,191,7550,0,2.0
2022,146,0,32333,Kevin Tway,2.53,361,14300,0,1.0
2022,149,0,25493,Nick Taylor,2.48,334,13450,0,0.0
2022,150,0,32757,Patton Kizzire,2.46,351,14250,0,1.0
2022,151,0,24140,Sean O'Hair,2.45,146,5950,0,1.0
2022,152,0,32816,Satoshi Kodaira,2.4,197,8200,0,0.0
2022,153,0,24925,Jonathan Byrd,2.36,223,9450,0,1.0
2022,154,0,35879,Kelly Kraft,2.27,289,12700,0,0.0
2022,155,0,53165,Doc Redman,2.24,304,13550,0,1.0
2022,156,0,49298,Kramer Hickok,2.2,328,14900,0,1.0
2022,157,0,24138,Ian Poulter,2.13,179,8400,0,0.0
2022,158,0,19803,Ryan Armour,2.09,186,8900,0,0.0
2022,159,0,40042,Tyler McCumber,2.06,113,5500,0,1.0
2022,160,0,24024,Zach Johnson,2.05,246,11950,0,0.0
2022,161,0,54421,Garrick Higgo,1.99,229,11500,0,1.0
2022,162,0,39953,Chase Seiffert,1.97,173,8800,0,0.0
2022,163,0,51997,Andrew Novak,1.84,233,12700,0,0.0
2022,163,0,35617,Martin Trainer,1.84,270,14700,0,2.0
2022,165,0,46435,Austin Cook,1.82,213,11700,0,0.0
2022,165,0,33597,Harry Higgs,1.82,272,14950,0,1.0
2022,167,0,29479,Scott Brown,1.8,111,6200,0,0.0
2022,168,0,30163,Henrik Norlander,1.77,235,13300,0,1.0
2022,169,0,31202,William McGirt,1.73,144,8350,0,1.0
2022,169,0,31560,Brian Stuard,1.73,285,16450,0,2.0
2022,171,0,20433,Mark Hensby,1.72,40,2300,0,1.0
2022,171,0,49766,Hank Lebioda,1.72,241,14050,0,0.0
2022,171,0,23325,Vaughn Taylor,1.72,158,9200,0,1.0
2022,174,0,26596,Ryan Moore,1.69,130,7650,0,0.0
2022,175,0,22371,Aaron Baddeley,1.68,96,5700,0,0.0
2022,176,0,12716,Charley Hoffman,1.66,207,12500,0,1.0
2022,177,0,29535,Brice Garnett,1.65,228,13800,0,1.0
2022,178,0,23983,Luke Donald,1.57,170,10850,0,0.0
2022,178,0,30750,Tommy Gainey,1.57,105,6700,0,1.0
2022,180,0,54783,Dylan Wu,1.5,175,11700,0,1.0
2022,181,0,32366,Kevin Chappell,1.49,139,9300,0,0.0
2022,182,0,24980,Scott Gutschewski,1.48,158,10700,0,1.0
2022,183,0,34099,Harris English,1.46,91,6250,0,0.0
2022,184,0,36852,Jim Knous,1.44,125,8700,0,0.0
2022,185,0,1810,Phil Mickelson,1.38,44,3200,0,0.0
2022,186,0,30978,Kiradech Aphibarnrat,1.37,122,8900,0,0.0
2022,187,0,37212,Paul Barjon,1.35,168,12450,0,1.0
2022,188,0,34213,Grayson Murray,1.33,70,5300,0,0.0
2022,189,0,29268,Bronson Burgoon,1.32,80,6100,0,0.0
2022,189,0,24924,Bill Haas,1.32,194,14700,0,0.0
2022,191,0,47128,Richy Werenski,1.31,163,12500,0,0.0
2022,192,0,36884,Ben Kohles,1.3,146,11200,0,0.0
2022,193,0,24358,Robert Garrigus,1.27,79,6200,0,0.0
2022,194,0,34409,David Lingmerth,1.26,80,6350,0,0.0
2022,194,0,29289,S.Y. Noh,1.26,128,10200,0,0.0
2022,194,0,27649,Brandt Snedeker,1.26,141,11200,0,0.0
2022,197,0,47856,Seth Reeves,1.24,152,12200,0,1.0
2022,198,0,25632,Jimmy Walker,1.17,83,7100,0,0.0
2022,199,0,21528,Henrik Stenson,1.14,78,6850,0,0.0
2022,200,0,34255,Joseph Bramlett,1.13,162,14300,0,0.0
2022,201,0,27974,Sung Kang,1.11,163,14700,0,0.0
2022,202,0,33486,Roger Sloan,1.07,151,14150,0,0.0
2022,202,0,10381,Curtis Thompson,1.07,136,12700,0,1.0
2022,204,0,33490,Bo Hoag,1.04,98,9350,0,0.0
2022,204,0,27770,Camilo Villegas,1.04,127,12250,0,0.0
2022,206,0,48084,Wesley Bryan,1.01,90,8900,0,0.0
2022,207,0,19846,Brian Gay,0.99,90,9100,0,0.0
2022,208,0,6643,Paul Goydos,0.98,5,500,0,0.0
2022,209,0,23623,Bo Van Pelt,0.96,69,7200,0,0.0
2022,210,0,30110,Kyle Stanley,0.92,80,8750,0,0.0
2022,211,0,29484,Peter Uihlein,0.87,62,7100,0,0.0
2022,212,0,27139,David Skinns,0.86,94,10900,0,0.0
2022,213,0,31557,Jim Herman,0.84,76,9100,0,1.0
2022,214,0,24846,Ricky Barnes,0.83,39,4700,0,0.0
2022,215,0,27963,Chris Stroud,0.79,44,5600,0,0.0
2022,216,0,20593,Greg Chalmers,0.76,32,4200,0,0.0
2022,217,0,45540,Jared Wolfe,0.75,81,10900,0,0.0
2022,218,0,10809,Jim Furyk,0.73,12,1600,0,0.0
2022,219,0,46550,Brandon Hagy,0.7,106,15100,0,0.0
2022,220,0,28114,Dawie van der Walt,0.67,78,11700,0,0.0
2022,221,0,8793,Tiger Woods,0.63,11,1800,0,0.0
2022,222,0,28679,Fabián Gómez,0.62,20,3200,0,0.0
2022,223,0,25686,Jason Dufner,0.57,59,10350,0,0.0
2022,224,0,1457,Jay Haas,0.55,3,500,0,0.0
2022,225,0,26758,David Hearn,0.54,28,5200,0,0.0
2022,226,0,27895,Jonas Blixt,0.49,50,10200,0,0.0
2022,227,0,39436,Joshua Creel,0.47,48,10200,0,0.0
2022,228,0,35110,Brett Drewitt,0.4,42,10700,0,0.0
2022,229,0,26951,Johnson Wagner,0.39,12,3000,0,0.0
2022,230,0,20766,Padraig Harrington,0.36,12,3350,0,0.0
2022,231,0,37273,Derek Ernst,0.34,9,2700,0,0.0
2022,232,0,23353,J.J. Henry,0.29,9,3200,0,0.0
2022,233,0,25240,D.A. Points,0.27,13,4700,0,0.0
2022,234,0,24490,George McNeill,0.26,5,1900,0,0.0
2022,234,0,23788,D.J. Trahan,0.26,11,4200,0,0.0
2022,236,0,28259,Sangmoon Bae,0.24,9,3600,0,0.0
2022,237,0,23541,Ben Crane,0.23,10,4400,0,0.0
2022,238,0,20645,John Senden,0.22,3,1500,0,0.0
2022,239,0,8385,Omar Uresti,0.18,4,1900,0,0.0
2022,240,0,21407,Arjun Atwal,0.17,5,3100,0,0.0
2022,241,0,26420,Richard Johnson,0.14,5,3400,0,0.0
2022,242,0,21350,Ryuji Imada,0.13,2,1800,0,0.0
2022,243,0,21753,Brian Davis,0.1,3,2700,0,0.0
2022,243,0,1706,Davis Love III,0.1,3,3500,0,0.0
2022,243,0,27933,John Merrick,0.1,4,3700,0,0.0
2022,246,0,28307,Matt Every,0.05,2,3400,0,0.0
2022,246,0,26679,Kevin Stadler,0.05,2,4700,0,0.0
2021,1,0,50525,Collin Morikawa,19.83,2171,10950,2,8.0
2021,2,0,46970,Jon Rahm,19.26,2003,10400,1,12.0
2021,3,0,47959,Bryson DeChambeau,18.19,1910,10500,2,7.0
2021,4,0,26329,Louis Oosthuizen,18.05,1877,10400,0,8.0
2021,5,0,35450,Patrick Cantlay,18.03,2056,11400,2,5.0
2021,6,0,34046,Jordan Spieth,17.9,2139,11950,1,9.0
2021,7,0,36689,Brooks Koepka,17.07,1562,9150,1,8.0
2021,8,0,34099,Harris English,16.71,2039,12200,2,8.0
2021,9,0,33448,Justin Thomas,16.06,1758,10950,1,5.0
2021,10,0,48081,Xander Schauffele,15.54,1623,10450,0,7.0
2021,11,0,30925,Dustin Johnson,15.25,1510,9900,1,7.0
2021,12,0,46717,Viktor Hovland,15.06,1717,11400,1,6.0
2021,13,0,45526,Abraham Ancer,14.93,1926,12900,1,7.0
2021,14,0,47504,Sam Burns,14.22,1721,12100,1,7.0
2021,15,0,35891,Cameron Smith,13.44,1539,11450,1,7.0
2021,16,0,40026,Daniel Berger,13.43,1444,10750,1,8.0
2021,17,0,54421,Garrick Higgo,13.38,515,3850,1,1.0
2021,18,0,28237,Rory McIlroy,12.91,1291,10000,1,6.0
2021,19,0,30944,Jason Kokrak,12.59,1631,12950,2,5.0
2021,20,0,32839,Hideki Matsuyama,12.36,1594,12900,1,3.0
2021,21,0,20229,Stewart Cink,11.89,1445,12150,2,3.0
2021,22,0,45486,Joaquin Niemann,11.61,1491,12850,0,5.0
2021,23,0,34360,Patrick Reed,11.55,1381,11950,1,6.0
2021,24,0,29420,Billy Horschel,10.81,1292,11950,1,5.0
2021,25,0,25396,Kevin Na,10.59,1308,12350,1,3.0
2021,26,0,29725,Tony Finau,10.41,1348,12950,0,7.0
2021,27,0,46046,Scottie Scheffler,10.17,1409,13850,0,8.0
2021,28,0,34021,Bud Cauley,9.8,49,500,0,
2021,29,0,25364,Paul Casey,9.47,932,9850,0,7.0
2021,30,0,29478,Kevin Kisner,9.3,1200,12900,1,4.0
2021,31,0,20396,Lee Westwood,9.23,867,9400,0,2.0
2021,32,0,26851,Marc Leishman,9.19,1103,12000,1,4.0
2021,33,0,28252,Seamus Power,9.05,670,7400,1,4.0
2021,34,0,21209,Sergio Garcia,9.02,1020,11300,1,3.0
2021,35,0,29221,Webb Simpson,8.89,920,10350,0,6.0
2021,36,0,39977,Max Homa,8.72,1220,14000,1,5.0
2021,37,0,39997,Corey Conners,8.69,1212,13950,0,7.0
2021,38,0,45157,Cam Davis,8.49,1052,12400,1,3.0
2021,39,0,12716,Charley Hoffman,8.13,1127,13850,0,5.0
2021,40,0,34098,Russell Henley,7.79,939,12050,0,5.0
2021,41,0,37455,Si Woo Kim,7.73,1187,15350,1,5.0
2021,42,0,47483,Will Zalatoris,7.67,1023,13350,0,6.0
2021,43,-1,27644,Brian Harman,7.65,1052,13750,0,5.0
2021,43,-1,56278,Matthew Wolff,7.65,772,10100,0,2.0
2021,45,-1,33419,Cameron Tringale,7.61,986,12950,0,4.0
2021,46,-1,33667,Carlos Ortiz,7.59,1044,13750,1,3.0
2021,47,-1,29974,Branden Grace,7.49,955,12750,1,4.0
2021,48,-1,34363,Tyrrell Hatton,7.47,739,9900,0,4.0
2021,49,-1,27064,Jhonattan Vegas,7.34,866,11800,0,4.0
2021,50,-1,25900,Lucas Glover,7.25,1044,14400,1,4.0
2021,51,-1,23320,Ryan Palmer,7.22,812,11250,0,4.0
2021,52,-1,33141,Keegan Bradley,7.21,941,13050,0,4.0
2021,53,-1,40098,Matt Fitzpatrick,7.12,748,10500,0,5.0
2021,54,-1,39971,Sungjae Im,7.04,1185,16850,0,4.0
2021,55,-1,1810,Phil Mickelson,7.03,791,11250,1,1.0
2021,56,-1,26300,Matt Jones,6.98,1033,14800,1,3.0
2021,57,-1,33204,Shane Lowry,6.96,727,10450,0,4.0
2021,58,-1,30926,Chris Kirk,6.88,853,12400,0,4.0
2021,59,-1,46442,Maverick McNealy,6.86,830,12100,0,2.0
2021,60,-1,49964,Aaron Wise,6.67,741,11100,0,3.0
2021,61,-1,32791,K.H. Lee,6.65,1064,16000,1,3.0
2021,62,-1,31646,Emiliano Grillo,6.64,920,13850,0,4.0
2021,63,-1,26331,Charl Schwartzel,6.62,857,12950,0,3.0
2021,64,-1,52372,Cameron Champ,6.56,839,12800,1,2.0
2021,65,-1,24502,Adam Scott,6.1,604,9900,0,2.0
2021,66,-1,25804,Bubba Watson,6.06,685,11300,0,5.0
2021,67,-1,34264,Hudson Swafford,5.95,804,13500,1,3.0
2021,68,-1,24138,Ian Poulter,5.9,628,10650,0,3.0
2021,69,-1,32757,Patton Kizzire,5.85,802,13700,0,5.0
2021,70,-1,47529,Mito Pereira,5.77,167,2900,0,2.0
2021,71,-1,27214,Kevin Streelman,5.71,837,14650,0,4.0
2021,72,-1,48887,Matt Wallace,5.55,502,9050,0,2.0
2021,73,-1,46402,Talor Gooch,5.47,739,13500,0,3.0
2021,74,-1,27936,Martin Laird,5.4,734,13600,1,1.0
2021,75,-1,34431,Robert Streb,5.26,710,13500,1,1.0
2021,76,-1,35506,Mackenzie Hughes,5.21,719,13800,0,4.0
2021,77,-1,40006,Erik van Rooyen,5.2,648,12450,1,3.0
2021,78,-1,46550,Brandon Hagy,5.06,660,13050,0,3.0
2021,79,-1,49298,Kramer Hickok,5.02,574,11450,0,2.0
2021,80,-1,49766,Hank Lebioda,4.99,564,11300,0,3.0
2021,81,-1,34076,Joel Dahmen,4.91,646,13150,1,3.0
2021,82,-1,37189,Harold Varner III,4.9,674,13750,0,1.0
